Part,Quantity,Price / Item in USD,Price Total in USD,Source,Total:,226.34
HI-TEMP 3D Printing Filament,2,29.99,59.98,3D Fuel,,
Kit Parts,1,72.08,72.08,https://amzn.to/4qNI9fs,,
Nema 17 with 19:1 Gearbox,1,40.43,40.43,https://amzn.to/43z0zaz,,
Brass Standoffs,1,6.99,6.99,https://amzn.to/47kmKlQ,,
CPAP hose,1,10,10,https://amzn.to/4pYTB7r,,
8mm shaft coupler,1,11.99,11.99,https://amzn.to/4sHrHPK,,
thrust bearings,1,6.89,6.89,https://amzn.to/3YFnGh6,,
ceramic fiber tape,1,8.99,8.99,https://amzn.to/45HzOlo,,
heater cartridge and thermister,1,8.99,8.99,https://amzn.to/3LApIMg,,
,,,0,,,
